genre,x,y,hex_colour
bolivian metal,293,12956,#d46038
bolivian rock,664,14092,#b27d1c
bomba y plena,1024,6880,#a4800e
bongo flava,1073,12400,#b4890d
boogaloo,1041,6547,#9e8227
boogie,1131,17049,#af7723
boogie-woogie,1033,3271,#658a61
boom bap,911,10930,#b77412
boom bap brasileiro,1084,10819,#a88012
bornehistorier,1106,4978,#547a04
bornesange,1093,10170,#7f8e0b
bosnian electronic,1248,18882,#c68acb
bosnian indie,797,13509,#ad7d1a
bossa nova,843,5259,#66953a
bossa nova cover,959,9077,#6c9f3b
bossa nova jazz,897,8138,#75955f
boston electronic,1136,17696,#aa878f
boston folk,615,6349,#689a0d
boston hardcore,247,9601,#e3473a
boston hip hop,993,10918,#ab820f
boston indie,436,9422,#9d802e
boston metal,175,11399,#d75056
boston punk,275,10870,#e55016
boston rock,399,10218,#ae7225
bothy ballad,1048,2867,#329f27
botswana pop,919,13065,#9a8d0d
botswanan pop,1031,11248,#949006
bounce,1149,16000,#b57e0c
bouncy house,793,17656,#d47453
bouzouki,767,5767,#6e9860
bow pop,387,5774,#5b9a8e
boy band,711,16569,#ac8204
boy pop,719,9485,#808f12
boy soprano,261,591,#1cac3a
bozlak,729,4801,#769414
brain waves,118,4586,#2647c5
braindance,953,16594,#ad84bb
brasilia indie,655,11130,#968c17
brass band,753,6596,#7e8482
brass band brasileiro,872,10368,#9f8091
brass ensemble,500,1830,#3c96c0
brass quintet,533,1299,#29a6d4
brazilian bass,1279,18596,#ba7f7c
brazilian black metal,93,9803,#d74173
brazilian blues,711,10560,#a6802d
brazilian boogie,905,10343,#9c843b
brazilian ccm,522,8409,#80940c
brazilian classical,547,2260,#36a099
brazilian classical piano,686,313,#23a6dd
brazilian contemporary classical,599,1678,#36a1b2
brazilian death metal,173,9950,#eb376f
brazilian dnb,1126,18719,#d986a3
brazilian doom metal,131,9693,#b07273
brazilian edm,1220,18262,#b9866f
brazilian emo,373,12442,#c56f24
brazilian experimental,646,9673,#88859c
brazilian gospel,522,10366,#948f14
brazilian grindcore,152,9730,#e8286e
brazilian groove metal,314,10367,#e24738
brazilian hardcore,295,11240,#e84920
brazilian heavy metal,210,14830,#e35538
brazilian hip hop,1067,10756,#a38610
brazilian house,1188,18498,#ba8e87
brazilian indie,847,10474,#9e841f
brazilian indie rock,427,10342,#a0843a
brazilian jazz,853,4586,#5b9950
brazilian lo-fi rock,273,10256,#ab7473
brazilian metal,247,11817,#e04d39
brazilian metalcore,256,14952,#e54e36
brazilian modern jazz,828,5296,#669883
brazilian percussion,1037,9315,#b27744
brazilian post-hardcore,324,13867,#d95c18
brazilian post-rock,361,8359,#878bc0
brazilian power metal,219,14509,#d56019
brazilian progressive metal,230,13757,#d06525
brazilian punk,379,11668,#dd551b
brazilian punk rock,316,12588,#e45519
brazilian reggae,1031,12787,#a08a0b
brazilian rock,596,12796,#ba750f
brazilian rockabilly,533,10596,#c06e20
brazilian ska,767,14774,#c67b1a
brazilian soul,893,10868,#9c8213
brazilian stoner rock,284,11509,#cc6650
brazilian surf rock,397,12539,#d06c81
brazilian tech house,1418,19426,#c680a1
brazilian techno,1312,19211,#b796d2
brazilian thrash metal,271,10945,#ea413f
breakbeat,943,18138,#d0767a
breakcore,790,15583,#c66587
breaks,1045,17770,#c782ae
brega,779,10908,#9f8d03
brega funk,1288,15836,#bb8a04
brega romantico,860,12900,#b78b01
breton folk,561,6645,#7d944a
brighton indie,448,12465,#aa7d37
brill building pop,677,5743,#74870d
brisbane indie,349,12759,#b27a25
bristol electronic,1007,17252,#b58798
bristol indie,419,8953,#967c5a
brit funk,949,15381,#b47738
british alternative rock,336,14240,#c17018
british black metal,95,11277,#d44373
british blues,576,8568,#a27725
british brass band,349,1178,#3b8fd0
british children's music,1063,9750,#7a8b0f
british choir,109,714,#26973e
british classical piano,476,1007,#20a1c6
british comedy,1109,3752,#6a7409
british contemporary classical,290,1238,#209f7b
british country,559,10144,#859305
british dance band,830,1830,#3d9063
british death metal,139,10035,#e33887
british electroacoustic,365,3992,#478078
british experimental,522,7744,#807394
british folk,779,5333,#579a1e
british grindcore,99,9681,#e42881
british indie rock,397,13486,#c67114
british industrial,579,11632,#937283
british invasion,639,8236,#977d1f
british jazz,736,5130,#6b8a77
british math rock,429,9912,#b6786e
british modern classical,228,664,#1e9b89
british orchestra,237,2993,#369aa8
british post-rock,275,9512,#818fb5
british power metal,193,15406,#e2591b
british singer-songwriter,566,6066,#5c9d1a
british soul,855,13965,#9a8910
british soundtrack,248,5546,#419dc0
britpop,355,13449,#b57820
broadway,569,3954,#4f912b
brockton hip hop,1028,9810,#8a9313
